field_a,value_a,field_b,value_b,support,n_both_disclosed,lift
entry.archetypes,stat_signal_model,entry.filters,undisclosed,15,145,1.59
entry.archetypes,order_flow_tape,entry.filters,liquidity_filter,14,145,2.42
entry.archetypes,other,entry.filters,none_stated,14,145,1.64
entry.archetypes,stat_signal_model,entry.filters,liquidity_filter,14,145,1.78
entry.archetypes,breakout_range,entry.filters,watchlist_prescreen,13,145,3.59
entry.archetypes,spread_relative_value,entry.filters,liquidity_filter,11,145,2.22
entry.archetypes,chart_pattern,entry.filters,watchlist_prescreen,11,145,3.45
entry.archetypes,spread_relative_value,entry.filters,none_stated,10,145,1.51
entry.archetypes,momentum_continuation,entry.filters,watchlist_prescreen,10,145,2.76
entry.archetypes,breakout_range,entry.filters,market_health_index,9,145,5.22
entry.archetypes,momentum_continuation,entry.filters,liquidity_filter,8,145,1.55
entry.archetypes,other,entry.filters,undisclosed,7,145,0.91
entry.archetypes,ma_cross_or_trend_signal,entry.filters,undisclosed,7,145,2.35
entry.archetypes,news_catalyst,entry.filters,liquidity_filter,6,145,1.93
entry.archetypes,momentum_continuation,entry.filters,none_stated,6,145,0.87
entry.archetypes,news_catalyst,entry.filters,watchlist_prescreen,6,145,2.76
entry.archetypes,order_flow_tape,entry.filters,undisclosed,6,145,0.86
entry.archetypes,stat_signal_model,entry.filters,none_stated,6,145,0.57
entry.archetypes,volatility_event,entry.filters,none_stated,6,145,1.67
entry.archetypes,chart_pattern,entry.filters,market_health_index,6,145,3.95
entry.archetypes,volatility_event,entry.filters,regime_filter_volatility,5,145,6.97
entry.archetypes,relative_strength_rotation,entry.filters,watchlist_prescreen,5,145,3.84
entry.archetypes,earnings_fundamental_catalyst,entry.filters,fundamental_screen,5,145,10.36
entry.archetypes,chart_pattern,entry.filters,trend_filter_ma,5,145,4.71
entry.archetypes,breakout_channel_donchian,entry.filters,correlation_exposure_filter,5,145,8.24
entry.archetypes,order_flow_tape,entry.filters,none_stated,5,145,0.65
entry.archetypes,relative_strength_rotation,entry.filters,market_health_index,5,145,8.06
entry.archetypes,breakout_range,entry.filters,fundamental_screen,5,145,4.14
entry.archetypes,other,entry.filters,regime_filter_volatility,4,145,2.34
entry.archetypes,news_catalyst,entry.filters,none_stated,4,145,0.97
entry.archetypes,chart_pattern,entry.filters,liquidity_filter,4,145,0.88
entry.archetypes,gap_play,entry.filters,watchlist_prescreen,4,145,4.6
entry.archetypes,earnings_fundamental_catalyst,entry.filters,watchlist_prescreen,4,145,2.76
entry.archetypes,order_flow_tape,entry.filters,watchlist_prescreen,4,145,0.99
entry.archetypes,breakout_range,entry.filters,liquidity_filter,4,145,0.77
entry.archetypes,chart_pattern,entry.filters,fundamental_screen,4,145,3.77
entry.archetypes,breakout_range,entry.filters,trend_filter_ma,4,145,3.31
entry.archetypes,spread_relative_value,entry.filters,regime_filter_volatility,4,145,3.02
entry.archetypes,volatility_event,entry.filters,liquidity_filter,4,145,1.49
entry.archetypes,other,entry.filters,liquidity_filter,3,145,0.47
entry.archetypes,breakout_range,entry.filters,none_stated,3,145,0.44
entry.archetypes,chart_pattern,entry.filters,none_stated,3,145,0.49
entry.archetypes,opening_range,entry.filters,liquidity_filter,3,145,4.83
entry.archetypes,opening_range,entry.filters,watchlist_prescreen,3,145,6.9
entry.archetypes,momentum_continuation,entry.filters,undisclosed,3,145,0.48
entry.archetypes,breakout_channel_donchian,entry.filters,undisclosed,3,145,1.1
entry.archetypes,undisclosed,entry.filters,undisclosed,3,145,3.02
entry.archetypes,ma_cross_or_trend_signal,entry.filters,none_stated,3,145,0.91
entry.archetypes,breakout_channel_donchian,entry.filters,none_stated,3,145,0.99
entry.archetypes,earnings_fundamental_catalyst,entry.filters,market_health_index,3,145,4.35
entry.archetypes,momentum_continuation,entry.filters,market_health_index,3,145,1.74
entry.archetypes,stat_signal_model,entry.filters,regime_filter_volatility,3,145,1.43
entry.archetypes,stat_signal_model,exit.initial_stop_basis,undisclosed,35,146,1.68
entry.archetypes,other,exit.initial_stop_basis,undisclosed,16,146,0.94
entry.archetypes,spread_relative_value,exit.initial_stop_basis,undisclosed,16,146,1.22
entry.archetypes,order_flow_tape,exit.initial_stop_basis,undisclosed,15,146,0.98
entry.archetypes,other,exit.initial_stop_basis,mental_discretionary,9,146,1.84
entry.archetypes,momentum_continuation,exit.initial_stop_basis,undisclosed,9,146,0.66
entry.archetypes,ma_cross_or_trend_signal,exit.initial_stop_basis,undisclosed,9,146,1.37
entry.archetypes,order_flow_tape,exit.initial_stop_basis,mental_discretionary,8,146,1.81
entry.archetypes,breakout_channel_donchian,exit.initial_stop_basis,volatility_atr,8,146,10.62
entry.archetypes,breakout_range,exit.initial_stop_basis,structure_swing,7,146,4.09
entry.archetypes,chart_pattern,exit.initial_stop_basis,undisclosed,7,146,0.56
entry.archetypes,news_catalyst,exit.initial_stop_basis,undisclosed,6,146,0.73
entry.archetypes,chart_pattern,exit.initial_stop_basis,structure_swing,6,146,3.81
entry.archetypes,breakout_range,exit.initial_stop_basis,undisclosed,6,146,0.44
entry.archetypes,relative_strength_rotation,exit.initial_stop_basis,undisclosed,6,146,1.22
entry.archetypes,momentum_continuation,exit.initial_stop_basis,pattern_invalidation,5,146,2.92
entry.archetypes,breakout_range,exit.initial_stop_basis,pattern_invalidation,5,146,2.92
entry.archetypes,earnings_fundamental_catalyst,exit.initial_stop_basis,undisclosed,5,146,0.91
entry.archetypes,chart_pattern,exit.initial_stop_basis,pattern_invalidation,5,146,3.17
entry.archetypes,volatility_event,exit.initial_stop_basis,none,5,146,8.02
entry.archetypes,news_catalyst,exit.initial_stop_basis,mental_discretionary,4,146,1.69
entry.archetypes,spread_relative_value,exit.initial_stop_basis,mental_discretionary,4,146,1.06
entry.archetypes,volatility_event,exit.initial_stop_basis,undisclosed,4,146,0.56
entry.archetypes,gap_play,exit.initial_stop_basis,undisclosed,4,146,1.22
entry.archetypes,undisclosed,exit.initial_stop_basis,undisclosed,4,146,1.83
entry.archetypes,volatility_event,exit.initial_stop_basis,mental_discretionary,4,146,1.95
entry.archetypes,breakout_range,exit.initial_stop_basis,fixed_pct,4,146,4.67
entry.archetypes,spread_relative_value,exit.initial_stop_basis,none,4,146,3.48
entry.archetypes,momentum_continuation,exit.initial_stop_basis,structure_swing,3,146,1.75
entry.archetypes,order_flow_tape,exit.initial_stop_basis,structure_swing,3,146,1.56
entry.archetypes,oversold_reversal,exit.initial_stop_basis,mental_discretionary,3,146,3.81
entry.archetypes,breakout_range,exit.initial_stop_basis,volatility_atr,3,146,1.75
entry.archetypes,momentum_continuation,exit.initial_stop_basis,mental_discretionary,3,146,0.76
entry.archetypes,relative_strength_rotation,exit.initial_stop_basis,fixed_pct,3,146,9.73
entry.archetypes,chart_pattern,exit.initial_stop_basis,fixed_pct,3,146,3.81
entry.archetypes,momentum_continuation,exit.initial_stop_basis,fixed_pct,3,146,3.5
style.primary,market_making,sizing.model,undisclosed,16,146,1.43
style.primary,global_macro,sizing.model,undisclosed,12,146,1.01
style.primary,trend_following,sizing.model,undisclosed,12,146,0.65
style.primary,trend_following,sizing.model,volatility_normalized,12,146,4.17
style.primary,momentum_growth,sizing.model,undisclosed,12,146,1.01
style.primary,day_trading,sizing.model,undisclosed,10,146,1.01
style.primary,stat_arb,sizing.model,undisclosed,8,146,1.22
style.primary,volatility_trading,sizing.model,undisclosed,7,146,1.33
style.primary,swing_technical,sizing.model,undisclosed,6,146,1.01
style.primary,global_macro,sizing.model,conviction_weighted,4,146,2.32
style.primary,other,sizing.model,undisclosed,4,146,0.76
style.primary,trend_following,sizing.model,fixed_fractional_pct_risk,3,146,1.74
style.primary,momentum_growth,sizing.model,pyramiding_program,3,146,6.08
risk.pyramids,true,exit.uses_trailing,true,13,14,1.0
