field_a,value_a,field_b,value_b,support,n_both_disclosed,lift
entry.archetypes,stat_signal_model,entry.filters,undisclosed,15,117,1.44
entry.archetypes,stat_signal_model,entry.filters,liquidity_filter,14,117,2.27
entry.archetypes,order_flow_tape,entry.filters,liquidity_filter,11,117,2.95
entry.archetypes,other,entry.filters,none_stated,11,117,1.89
entry.archetypes,breakout_range,entry.filters,watchlist_prescreen,11,117,5.36
entry.archetypes,spread_relative_value,entry.filters,liquidity_filter,9,117,2.92
entry.archetypes,chart_pattern,entry.filters,watchlist_prescreen,9,117,5.01
entry.archetypes,breakout_range,entry.filters,market_health_index,8,117,7.31
entry.archetypes,ma_cross_or_trend_signal,entry.filters,undisclosed,7,117,2.13
entry.archetypes,spread_relative_value,entry.filters,none_stated,7,117,1.27
entry.archetypes,order_flow_tape,entry.filters,undisclosed,6,117,0.95
entry.archetypes,stat_signal_model,entry.filters,none_stated,6,117,0.54
entry.archetypes,momentum_continuation,entry.filters,watchlist_prescreen,5,117,2.79
entry.archetypes,relative_strength_rotation,entry.filters,watchlist_prescreen,5,117,4.88
entry.archetypes,chart_pattern,entry.filters,trend_filter_ma,5,117,6.96
entry.archetypes,breakout_channel_donchian,entry.filters,correlation_exposure_filter,5,117,6.65
entry.archetypes,volatility_event,entry.filters,none_stated,5,117,1.72
entry.archetypes,chart_pattern,entry.filters,market_health_index,5,117,5.22
entry.archetypes,other,entry.filters,undisclosed,4,117,0.73
entry.archetypes,momentum_continuation,entry.filters,liquidity_filter,4,117,1.76
entry.archetypes,order_flow_tape,entry.filters,none_stated,4,117,0.6
entry.archetypes,relative_strength_rotation,entry.filters,market_health_index,4,117,7.31
entry.archetypes,volatility_event,entry.filters,liquidity_filter,4,117,2.46
entry.archetypes,order_flow_tape,entry.filters,watchlist_prescreen,3,117,1.02
entry.archetypes,news_catalyst,entry.filters,none_stated,3,117,1.47
entry.archetypes,breakout_channel_donchian,entry.filters,undisclosed,3,117,1.0
entry.archetypes,earnings_fundamental_catalyst,entry.filters,fundamental_screen,3,117,11.7
entry.archetypes,undisclosed,entry.filters,undisclosed,3,117,2.74
entry.archetypes,momentum_continuation,entry.filters,none_stated,3,117,0.74
entry.archetypes,ma_cross_or_trend_signal,entry.filters,none_stated,3,117,0.86
entry.archetypes,breakout_channel_donchian,entry.filters,none_stated,3,117,0.94
entry.archetypes,breakout_range,entry.filters,fundamental_screen,3,117,4.39
entry.archetypes,chart_pattern,entry.filters,fundamental_screen,3,117,5.01
entry.archetypes,breakout_range,entry.filters,trend_filter_ma,3,117,3.66
entry.archetypes,spread_relative_value,entry.filters,regime_filter_volatility,3,117,4.62
entry.archetypes,volatility_event,entry.filters,regime_filter_volatility,3,117,8.78
entry.archetypes,stat_signal_model,entry.filters,regime_filter_volatility,3,117,2.31
entry.archetypes,stat_signal_model,exit.initial_stop_basis,undisclosed,35,118,1.7
entry.archetypes,spread_relative_value,exit.initial_stop_basis,undisclosed,13,118,1.26
entry.archetypes,order_flow_tape,exit.initial_stop_basis,undisclosed,13,118,1.04
entry.archetypes,ma_cross_or_trend_signal,exit.initial_stop_basis,undisclosed,9,118,1.38
entry.archetypes,other,exit.initial_stop_basis,undisclosed,8,118,0.74
entry.archetypes,other,exit.initial_stop_basis,mental_discretionary,8,118,2.36
entry.archetypes,breakout_channel_donchian,exit.initial_stop_basis,volatility_atr,8,118,9.54
entry.archetypes,order_flow_tape,exit.initial_stop_basis,mental_discretionary,6,118,1.54
entry.archetypes,relative_strength_rotation,exit.initial_stop_basis,undisclosed,5,118,1.15
