field,value,count,n_disclosed,n_total,share
verification.tier,B,96,146,146,66%
verification.tier,C,28,146,146,19%
verification.tier,A,22,146,146,15%
style.primary,trend_following,28,146,146,19%
style.primary,global_macro,18,146,146,12%
style.primary,momentum_growth,18,146,146,12%
style.primary,market_making,17,146,146,12%
style.primary,day_trading,15,146,146,10%
style.primary,stat_arb,10,146,146,7%
style.primary,swing_technical,9,146,146,6%
style.primary,volatility_trading,8,146,146,5%
style.primary,other,8,146,146,5%
style.primary,pairs_relative_value,5,146,146,3%
style.primary,scalping,3,146,146,2%
style.primary,event_driven,2,146,146,1%
style.primary,options_income,2,146,146,1%
style.primary,value_fundamental,1,146,146,1%
style.primary,mean_reversion,1,146,146,1%
style.primary,hybrid_quantamental,1,146,146,1%
style.discretion,discretionary,61,146,146,42%
style.discretion,systematic,50,146,146,34%
style.discretion,hybrid,35,146,146,24%
style.typical_holding_period,undisclosed,37,146,146,25%
style.typical_holding_period,months,31,146,146,21%
style.typical_holding_period,minutes,23,146,146,16%
style.typical_holding_period,weeks,22,146,146,15%
style.typical_holding_period,days,19,146,146,13%
style.typical_holding_period,hours,10,146,146,7%
style.typical_holding_period,years,4,146,146,3%
exit.initial_stop_basis,undisclosed,80,146,146,55%
exit.initial_stop_basis,mental_discretionary,23,146,146,16%
exit.initial_stop_basis,structure_swing,10,146,146,7%
exit.initial_stop_basis,pattern_invalidation,10,146,146,7%
exit.initial_stop_basis,volatility_atr,10,146,146,7%
exit.initial_stop_basis,none,7,146,146,5%
exit.initial_stop_basis,fixed_pct,5,146,146,3%
exit.initial_stop_basis,money_amount,1,146,146,1%
sizing.model,undisclosed,96,146,146,66%
sizing.model,volatility_normalized,15,146,146,10%
sizing.model,conviction_weighted,14,146,146,10%
sizing.model,fixed_fractional_pct_risk,9,146,146,6%
sizing.model,pyramiding_program,4,146,146,3%
sizing.model,portfolio_optimizer,3,146,146,2%
sizing.model,kelly_fractional,3,146,146,2%
sizing.model,fixed_units_contracts,1,146,146,1%
sizing.model,equal_weight,1,146,146,1%
style.secondary,swing_technical,21,99,146,21%
style.secondary,stat_arb,19,99,146,19%
style.secondary,volatility_trading,17,99,146,17%
style.secondary,global_macro,14,99,146,14%
style.secondary,market_making,9,99,146,9%
style.secondary,pairs_relative_value,9,99,146,9%
style.secondary,trend_following,7,99,146,7%
style.secondary,value_fundamental,6,99,146,6%
style.secondary,day_trading,6,99,146,6%
style.secondary,momentum_growth,5,99,146,5%
style.secondary,options_income,5,99,146,5%
style.secondary,event_driven,4,99,146,4%
style.secondary,mean_reversion,3,99,146,3%
style.secondary,scalping,2,99,146,2%
style.secondary,hybrid_quantamental,1,99,146,1%
style.markets,equities,84,146,146,58%
style.markets,commodity_futures,55,146,146,38%
style.markets,financial_futures,44,146,146,30%
style.markets,equity_index_futures,41,146,146,28%
style.markets,options,39,146,146,27%
style.markets,bonds_rates,29,146,146,20%
style.markets,fx_futures,24,146,146,16%
style.markets,fx_spot,21,146,146,14%
style.markets,crypto_spot,14,146,146,10%
style.markets,crypto_derivatives,12,146,146,8%
style.markets,otc_other,6,146,146,4%
style.timeframes,daily,89,146,146,61%
style.timeframes,weekly,37,146,146,25%
style.timeframes,intraday_minutes,37,146,146,25%
style.timeframes,intraday_hours,30,146,146,21%
style.timeframes,undisclosed,27,146,146,18%
style.timeframes,tick,17,146,146,12%
style.timeframes,monthly,13,146,146,9%
entry.archetypes,stat_signal_model,38,146,146,26%
entry.archetypes,other,31,146,146,21%
entry.archetypes,order_flow_tape,28,146,146,19%
entry.archetypes,breakout_range,25,146,146,17%
entry.archetypes,momentum_continuation,25,146,146,17%
entry.archetypes,spread_relative_value,24,146,146,16%
entry.archetypes,chart_pattern,23,146,146,16%
entry.archetypes,news_catalyst,15,146,146,10%
entry.archetypes,volatility_event,13,146,146,9%
entry.archetypes,ma_cross_or_trend_signal,12,146,146,8%
entry.archetypes,breakout_channel_donchian,11,146,146,8%
entry.archetypes,earnings_fundamental_catalyst,10,146,146,7%
entry.archetypes,relative_strength_rotation,9,146,146,6%
entry.archetypes,gap_play,6,146,146,4%
entry.archetypes,pullback_in_trend,5,146,146,3%
entry.archetypes,oversold_reversal,5,146,146,3%
entry.archetypes,mean_reversion_band,4,146,146,3%
entry.archetypes,undisclosed,4,146,146,3%
entry.archetypes,opening_range,3,146,146,2%
entry.archetypes,seasonal_calendar,2,146,146,1%
entry.confirmation,none_stated,38,146,146,26%
entry.confirmation,undisclosed,37,146,146,25%
entry.confirmation,fundamental_check,25,146,146,17%
entry.confirmation,volume_expansion,23,146,146,16%
entry.confirmation,multiple_signal_confluence,19,146,146,13%
entry.confirmation,relative_strength_vs_market,12,146,146,8%
entry.confirmation,volatility_regime_check,11,146,146,8%
entry.confirmation,higher_timeframe_alignment,7,146,146,5%
entry.confirmation,momentum_indicator,4,146,146,3%
entry.confirmation,breadth_internals,2,146,146,1%
entry.filters,none_stated,40,145,146,28%
entry.filters,undisclosed,36,145,146,25%
entry.filters,liquidity_filter,30,145,146,21%
entry.filters,watchlist_prescreen,21,145,146,14%
entry.filters,market_health_index,10,145,146,7%
entry.filters,regime_filter_volatility,8,145,146,6%
entry.filters,correlation_exposure_filter,8,145,146,6%
entry.filters,fundamental_screen,7,145,146,5%
entry.filters,trend_filter_ma,7,145,146,5%
entry.filters,session_time_filter,4,145,146,3%
entry.filters,chop_filter,1,145,146,1%
exit.profit_taking,undisclosed,60,146,146,41%
exit.profit_taking,discretionary,51,146,146,35%
exit.profit_taking,strength_into_exit,20,146,146,14%
exit.profit_taking,trailing_stop,14,146,146,10%
exit.profit_taking,signal_reversal,13,146,146,9%
exit.profit_taking,fixed_targets,12,146,146,8%
exit.profit_taking,time_based,6,146,146,4%
exit.profit_taking,trailing_ma,5,146,146,3%
exit.uses_trailing,true,23,24,146,96%
exit.uses_trailing,false,1,24,146,4%
exit.scales_out,true,16,21,146,76%
exit.scales_out,false,5,21,146,24%
exit.time_exit,true,10,15,146,67%
exit.time_exit,false,5,15,146,33%
risk.pyramids,true,19,20,146,95%
risk.pyramids,false,1,20,146,5%
risk.moves_to_breakeven,true,6,6,146,6 of 6
