field,value,count,n_disclosed,n_total,share
verification.tier,B,96,118,118,81%
verification.tier,A,22,118,118,19%
style.primary,trend_following,28,118,118,24%
style.primary,market_making,15,118,118,13%
style.primary,global_macro,13,118,118,11%
style.primary,momentum_growth,13,118,118,11%
style.primary,stat_arb,10,118,118,8%
style.primary,day_trading,8,118,118,7%
style.primary,other,8,118,118,7%
style.primary,volatility_trading,6,118,118,5%
style.primary,swing_technical,5,118,118,4%
style.primary,pairs_relative_value,4,118,118,3%
style.primary,scalping,3,118,118,3%
style.primary,value_fundamental,1,118,118,1%
style.primary,event_driven,1,118,118,1%
style.primary,options_income,1,118,118,1%
style.primary,mean_reversion,1,118,118,1%
style.primary,hybrid_quantamental,1,118,118,1%
style.discretion,systematic,49,118,118,42%
style.discretion,discretionary,44,118,118,37%
style.discretion,hybrid,25,118,118,21%
style.typical_holding_period,undisclosed,30,118,118,25%
style.typical_holding_period,months,27,118,118,23%
style.typical_holding_period,minutes,20,118,118,17%
style.typical_holding_period,weeks,18,118,118,15%
style.typical_holding_period,days,14,118,118,12%
style.typical_holding_period,hours,5,118,118,4%
style.typical_holding_period,years,4,118,118,3%
exit.initial_stop_basis,undisclosed,64,118,118,54%
exit.initial_stop_basis,mental_discretionary,20,118,118,17%
exit.initial_stop_basis,volatility_atr,9,118,118,8%
exit.initial_stop_basis,pattern_invalidation,8,118,118,7%
exit.initial_stop_basis,structure_swing,6,118,118,5%
exit.initial_stop_basis,none,6,118,118,5%
exit.initial_stop_basis,fixed_pct,5,118,118,4%
sizing.model,undisclosed,72,118,118,61%
sizing.model,volatility_normalized,15,118,118,13%
sizing.model,conviction_weighted,14,118,118,12%
sizing.model,fixed_fractional_pct_risk,6,118,118,5%
sizing.model,portfolio_optimizer,3,118,118,3%
sizing.model,pyramiding_program,3,118,118,3%
sizing.model,kelly_fractional,3,118,118,3%
sizing.model,fixed_units_contracts,1,118,118,1%
sizing.model,equal_weight,1,118,118,1%
style.secondary,stat_arb,19,79,118,24%
style.secondary,swing_technical,16,79,118,20%
style.secondary,volatility_trading,13,79,118,16%
style.secondary,global_macro,11,79,118,14%
style.secondary,market_making,7,79,118,9%
style.secondary,pairs_relative_value,6,79,118,8%
style.secondary,options_income,5,79,118,6%
style.secondary,trend_following,5,79,118,6%
style.secondary,value_fundamental,4,79,118,5%
style.secondary,day_trading,4,79,118,5%
style.secondary,mean_reversion,3,79,118,4%
style.secondary,event_driven,3,79,118,4%
style.secondary,momentum_growth,3,79,118,4%
style.secondary,scalping,1,79,118,1%
style.markets,equities,67,118,118,57%
style.markets,commodity_futures,53,118,118,45%
style.markets,financial_futures,44,118,118,37%
style.markets,equity_index_futures,36,118,118,31%
style.markets,options,32,118,118,27%
style.markets,bonds_rates,29,118,118,25%
style.markets,fx_futures,24,118,118,20%
style.markets,fx_spot,20,118,118,17%
style.markets,crypto_spot,4,118,118,3%
style.markets,otc_other,3,118,118,3%
style.markets,crypto_derivatives,2,118,118,2%
style.timeframes,daily,68,118,118,58%
style.timeframes,intraday_minutes,28,118,118,24%
style.timeframes,undisclosed,25,118,118,21%
style.timeframes,weekly,24,118,118,20%
style.timeframes,intraday_hours,22,118,118,19%
style.timeframes,tick,16,118,118,14%
style.timeframes,monthly,10,118,118,8%
entry.archetypes,stat_signal_model,38,118,118,32%
entry.archetypes,order_flow_tape,23,118,118,19%
entry.archetypes,other,20,118,118,17%
entry.archetypes,spread_relative_value,19,118,118,16%
entry.archetypes,breakout_range,16,118,118,14%
entry.archetypes,chart_pattern,15,118,118,13%
entry.archetypes,momentum_continuation,14,118,118,12%
entry.archetypes,ma_cross_or_trend_signal,12,118,118,10%
entry.archetypes,breakout_channel_donchian,11,118,118,9%
entry.archetypes,volatility_event,10,118,118,8%
entry.archetypes,relative_strength_rotation,8,118,118,7%
entry.archetypes,news_catalyst,7,118,118,6%
entry.archetypes,earnings_fundamental_catalyst,6,118,118,5%
entry.archetypes,pullback_in_trend,5,118,118,4%
entry.archetypes,oversold_reversal,4,118,118,3%
entry.archetypes,undisclosed,4,118,118,3%
entry.archetypes,gap_play,2,118,118,2%
entry.archetypes,mean_reversion_band,2,118,118,2%
entry.archetypes,seasonal_calendar,1,118,118,1%
entry.archetypes,opening_range,1,118,118,1%
entry.confirmation,undisclosed,35,118,118,30%
entry.confirmation,none_stated,33,118,118,28%
entry.confirmation,fundamental_check,19,118,118,16%
entry.confirmation,volume_expansion,16,118,118,14%
entry.confirmation,multiple_signal_confluence,13,118,118,11%
entry.confirmation,relative_strength_vs_market,9,118,118,8%
entry.confirmation,volatility_regime_check,7,118,118,6%
entry.confirmation,higher_timeframe_alignment,4,118,118,3%
entry.confirmation,momentum_indicator,3,118,118,3%
entry.confirmation,breadth_internals,1,118,118,1%
entry.filters,none_stated,34,117,118,29%
entry.filters,undisclosed,32,117,118,27%
