cohort,field,disclosed,n,disclosure_rate
crypto_modern,cohort,13,13,100%
crypto_modern,status,13,13,100%
crypto_modern,verification.tier,13,13,100%
crypto_modern,style.primary,13,13,100%
crypto_modern,style.discretion,13,13,100%
crypto_modern,style.typical_holding_period,13,13,100%
crypto_modern,exit.initial_stop_basis,13,13,100%
crypto_modern,sizing.model,13,13,100%
crypto_modern,style.secondary,12,13,92%
crypto_modern,style.markets,13,13,100%
crypto_modern,style.timeframes,13,13,100%
crypto_modern,entry.archetypes,13,13,100%
crypto_modern,entry.confirmation,13,13,100%
crypto_modern,entry.filters,13,13,100%
crypto_modern,exit.profit_taking,13,13,100%
crypto_modern,risk.risk_per_trade_pct,0,13,0%
crypto_modern,risk.max_drawdown_rule,0,13,0%
crypto_modern,risk.loss_limit,0,13,0%
crypto_modern,risk.portfolio_heat_cap,0,13,0%
crypto_modern,sizing.typical_leverage,0,13,0%
crypto_modern,exit.uses_trailing,0,13,0%
crypto_modern,exit.scales_out,0,13,0%
crypto_modern,exit.time_exit,0,13,0%
crypto_modern,risk.pyramids,0,13,0%
crypto_modern,risk.moves_to_breakeven,0,13,0%
day_prop_traders,cohort,18,18,100%
day_prop_traders,status,18,18,100%
day_prop_traders,verification.tier,18,18,100%
day_prop_traders,style.primary,18,18,100%
day_prop_traders,style.discretion,18,18,100%
day_prop_traders,style.typical_holding_period,18,18,100%
day_prop_traders,exit.initial_stop_basis,18,18,100%
day_prop_traders,sizing.model,18,18,100%
day_prop_traders,style.secondary,11,18,61%
day_prop_traders,style.markets,18,18,100%
day_prop_traders,style.timeframes,18,18,100%
day_prop_traders,entry.archetypes,18,18,100%
day_prop_traders,entry.confirmation,18,18,100%
day_prop_traders,entry.filters,18,18,100%
day_prop_traders,exit.profit_taking,18,18,100%
day_prop_traders,risk.risk_per_trade_pct,1,18,6%
day_prop_traders,risk.max_drawdown_rule,0,18,0%
day_prop_traders,risk.loss_limit,0,18,0%
day_prop_traders,risk.portfolio_heat_cap,0,18,0%
day_prop_traders,sizing.typical_leverage,0,18,0%
day_prop_traders,exit.uses_trailing,2,18,11%
day_prop_traders,exit.scales_out,8,18,44%
day_prop_traders,exit.time_exit,1,18,6%
day_prop_traders,risk.pyramids,2,18,11%
day_prop_traders,risk.moves_to_breakeven,2,18,11%
market_makers_hft,cohort,14,14,100%
market_makers_hft,status,14,14,100%
market_makers_hft,verification.tier,14,14,100%
market_makers_hft,style.primary,14,14,100%
market_makers_hft,style.discretion,14,14,100%
market_makers_hft,style.typical_holding_period,14,14,100%
market_makers_hft,exit.initial_stop_basis,14,14,100%
market_makers_hft,sizing.model,14,14,100%
market_makers_hft,style.secondary,14,14,100%
market_makers_hft,style.markets,14,14,100%
market_makers_hft,style.timeframes,14,14,100%
market_makers_hft,entry.archetypes,14,14,100%
market_makers_hft,entry.confirmation,14,14,100%
market_makers_hft,entry.filters,14,14,100%
market_makers_hft,exit.profit_taking,14,14,100%
market_makers_hft,risk.risk_per_trade_pct,0,14,0%
market_makers_hft,risk.max_drawdown_rule,0,14,0%
market_makers_hft,risk.loss_limit,0,14,0%
market_makers_hft,risk.portfolio_heat_cap,0,14,0%
market_makers_hft,sizing.typical_leverage,0,14,0%
market_makers_hft,exit.uses_trailing,0,14,0%
market_makers_hft,exit.scales_out,0,14,0%
market_makers_hft,exit.time_exit,0,14,0%
market_makers_hft,risk.pyramids,0,14,0%
market_makers_hft,risk.moves_to_breakeven,0,14,0%
market_wizards_classics,cohort,30,30,100%
market_wizards_classics,status,30,30,100%
market_wizards_classics,verification.tier,30,30,100%
market_wizards_classics,style.primary,30,30,100%
market_wizards_classics,style.discretion,30,30,100%
market_wizards_classics,style.typical_holding_period,30,30,100%
market_wizards_classics,exit.initial_stop_basis,30,30,100%
market_wizards_classics,sizing.model,30,30,100%
market_wizards_classics,style.secondary,20,30,67%
market_wizards_classics,style.markets,30,30,100%
market_wizards_classics,style.timeframes,30,30,100%
market_wizards_classics,entry.archetypes,30,30,100%
market_wizards_classics,entry.confirmation,30,30,100%
market_wizards_classics,entry.filters,29,30,97%
market_wizards_classics,exit.profit_taking,30,30,100%
market_wizards_classics,risk.risk_per_trade_pct,8,30,27%
market_wizards_classics,risk.max_drawdown_rule,3,30,10%
market_wizards_classics,risk.loss_limit,1,30,3%
market_wizards_classics,risk.portfolio_heat_cap,1,30,3%
market_wizards_classics,sizing.typical_leverage,0,30,0%
market_wizards_classics,exit.uses_trailing,4,30,13%
market_wizards_classics,exit.scales_out,3,30,10%
market_wizards_classics,exit.time_exit,2,30,7%
market_wizards_classics,risk.pyramids,4,30,13%
market_wizards_classics,risk.moves_to_breakeven,0,30,0%
momentum_growth_equities,cohort,19,19,100%
momentum_growth_equities,status,19,19,100%
momentum_growth_equities,verification.tier,19,19,100%
momentum_growth_equities,style.primary,19,19,100%
momentum_growth_equities,style.discretion,19,19,100%
momentum_growth_equities,style.typical_holding_period,19,19,100%
momentum_growth_equities,exit.initial_stop_basis,19,19,100%
momentum_growth_equities,sizing.model,19,19,100%
momentum_growth_equities,style.secondary,16,19,84%
momentum_growth_equities,style.markets,19,19,100%
momentum_growth_equities,style.timeframes,19,19,100%
momentum_growth_equities,entry.archetypes,19,19,100%
momentum_growth_equities,entry.confirmation,19,19,100%
momentum_growth_equities,entry.filters,19,19,100%
momentum_growth_equities,exit.profit_taking,19,19,100%
momentum_growth_equities,risk.risk_per_trade_pct,5,19,26%
momentum_growth_equities,risk.max_drawdown_rule,0,19,0%
momentum_growth_equities,risk.loss_limit,0,19,0%
momentum_growth_equities,risk.portfolio_heat_cap,0,19,0%
momentum_growth_equities,sizing.typical_leverage,0,19,0%
momentum_growth_equities,exit.uses_trailing,8,19,42%
momentum_growth_equities,exit.scales_out,5,19,26%
