# Market Movers: Day Gainers
# Data retrieved on: 2026-03-15 11:17:38

| Symbol | Name | Price | Change % | Volume | Market Cap |
|--------|------|-------|----------|--------|------------|
| NP | Neptune Insurance Holdings Inc | $21.87 | 20.23% | 924,853 | $3,021,417,984 |
| VEON | VEON Ltd. | $50.60 | 14.20% | 687,398 | $3,491,177,216 |
| KLAR | Klarna Group plc | $15.91 | 8.82% | 8,979,495 | $6,006,150,656 |
| KYIV | Kyivstar Group Ltd. | $11.07 | 8.53% | 2,498,383 | $2,555,660,032 |
| GLXY | Galaxy Digital Inc. | $22.35 | 8.34% | 7,046,744 | $8,730,140,672 |
| BLLN | BillionToOne, Inc. | $69.11 | 7.93% | 230,655 | $3,165,566,720 |
| IBRX | ImmunityBio, Inc. | $8.39 | 7.29% | 30,384,030 | $8,625,855,488 |
| SNDK | Sandisk Corporation | $661.62 | 6.92% | 18,684,442 | $97,655,758,848 |
| SSL | Sasol Ltd. | $11.31 | 6.70% | 5,267,106 | $7,210,551,296 |
| SEDG | SolarEdge Technologies, Inc. | $37.44 | 6.39% | 1,971,961 | $2,260,113,920 |
| MARA | MARA Holdings, Inc. | $9.32 | 6.39% | 73,011,343 | $3,543,786,496 |
| MUR | Murphy Oil Corporation | $36.81 | 6.02% | 5,770,011 | $5,257,585,664 |
| ADPT | Adaptive Biotechnologies Corpo | $13.17 | 5.78% | 3,892,105 | $2,027,937,280 |
| NIO | NIO Inc. | $5.86 | 5.59% | 57,679,174 | $14,817,943,552 |
| CRDO | Credo Technology Group Holding | $117.69 | 5.49% | 4,460,224 | $21,707,913,216 |
